"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:2Vx8E3K5icPZR7OCklWBXX","Nonstop","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:2o9McLtDM7mbODV7yZF2mc","Scorpion","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2018-06-29","https://i.scdn.co/image/ab67616d0000b273f9a9abe8ed9ffaba55412384","1","2","238613","","true","0","spotify:user:","2020-07-17T04:01:00Z","0.909","0.405","6","-8.133","0","0.14","0.0306","0.00698","0.105","0.455","154.984","4"
"spotify:track:3RkNXZvOSMMElmmXztDc94","F*****g Fans","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:3SpBlxme9WbeQdI9kx7KAV","Certified Lover Boy","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2021-09-03","https://i.scdn.co/image/ab67616d0000b273cd945b4e3de57edd28481a3f","1","20","245131","https://p.scdn.co/mp3-preview/37c5c5193365d6f6263565240916a6b027a93158?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","spotify:user:","2021-09-03T19:29:44Z","0.783","0.416","4","-9.84","0","0.135","0.213","0","0.103","0.165","87.073","4"
"spotify:track:6V2D8Lls36APk0THDjBDfE","Started From the Bottom","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:2gXTTQ713nCELgPOS0qWyt","Nothing Was The Same (Deluxe)","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2013-01-01","https://i.scdn.co/image/ab67616d0000b27367ffd8d6bbf399430ba9c044","1","3","174133","","true","0","spotify:user:","2020-07-17T04:01:00Z","0.794","0.522","8","-7.829","1","0.159","0.0328","0","0.156","0.567","86.318","4"
"spotify:track:1PDP7mLiAMwhfmgIwzhOm2","Yebba’s Heartbreak","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:1ooV8YZC1KbpEcrmI8WH0F","Drake, Yebba","spotify:album:3SpBlxme9WbeQdI9kx7KAV","Certified Lover Boy","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2021-09-03","https://i.scdn.co/image/ab67616d0000b273cd945b4e3de57edd28481a3f","1","11","133762","https://p.scdn.co/mp3-preview/8d0343533ab827057cb95f9d6eda881735a116e7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","80","spotify:user:","2021-09-03T19:29:44Z","0.476","0.161","8","-11.665","0","0.0407","0.967","0.0381","0.109","0.0908","119.614","4"
"spotify:track:116H0KvKr2Zl4RPuVBruDO","MIA (feat. Drake)","spotify:artist:4q3ewBCX7sLwd24euuV69X, spotify:artist:3TVXtAsR1Inumwj472S9r4","Bad Bunny, Drake","spotify:album:0p0W4RXcnc59jgatcdZozO","MIA (feat. Drake)","spotify:artist:4q3ewBCX7sLwd24euuV69X","Bad Bunny","2018-10-11","https://i.scdn.co/image/ab67616d0000b2734d382194384bc6e08eb090f6","1","1","210367","https://p.scdn.co/mp3-preview/1aa25af8a24b4c54dad8958fe3478b78ce5088bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","spotify:user:","2020-07-17T04:01:00Z","0.817","0.539","6","-6.349","0","0.0621","0.0141","0.000496","0.099","0.158","97.062","4"
"spotify:track:2WC4sK0ryyysQhtDok9Ytr","From Time","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:5ZS223C6JyBfXasXxrRqOk","Drake, Jhené Aiko","spotify:album:2ZUFSbIkmFkGag000RWOpA","Nothing Was The Same (Deluxe)","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2013-01-01","https://i.scdn.co/image/ab67616d0000b273adfb5909ec66db5fbb4d06c8","1","7","322160","https://p.scdn.co/mp3-preview/ccb87e47d7925aee2faf2040ddcfaa58e71fe435?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","spotify:user:","2020-07-17T04:01:00Z","0.737","0.494","1","-9.723","0","0.416","0.629","0","0.126","0.44","94.485","4"
"spotify:track:7kfTqGMzIHFWeBeOJALzRf","Headlines","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:63WdJvk8G9hxJn8u5rswNh","Take Care (Deluxe)","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2011-11-15","https://i.scdn.co/image/ab67616d0000b273c12f4b7567671621abce2aaa","1","3","235986","https://p.scdn.co/mp3-preview/77e30ce8ca92c001faf36c4ab877a6ae31d91eb4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","spotify:user:","2020-07-17T04:01:00Z","0.636","0.566","6","-7.16","0","0.106","0.365","0.000353","0.0917","0.425","151.894","4"
"spotify:track:0wwPcA6wtMf6HUMpIRdeP7","Hotline Bling","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:40GMAhriYJRO1rsY4YdrZb","Views","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2016-05-06","https://i.scdn.co/image/ab67616d0000b2739416ed64daf84936d89e671c","1","20","267066","https://p.scdn.co/mp3-preview/769fd02d9bff7997cb254e183a7c847718f6298e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","spotify:user:","2020-07-17T04:01:00Z","0.891","0.628","2","-7.863","1","0.0551","0.00258","0.00019","0.0504","0.552","134.966","4"
"spotify:track:343YBumqHu19cGoGARUTsd","Fake Love","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:1lXY618HWkwYKJWBRYR4MK","More Life","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2017-03-18","https://i.scdn.co/image/ab67616d0000b2734f0fd9dad63977146e685700","1","20","210937","https://p.scdn.co/mp3-preview/430cc7a865f1a7c8017c1fb3393b7315192d5b41?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","spotify:user:","2020-07-17T04:01:00Z","0.928","0.481","9","-9.35","0","0.287","0.105","0","0.176","0.613","134.007","4"
"spotify:track:3MLOAIJNWWS8FQpvdaiKR7","Poetic Justice","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg, spotify:artist:3TVXtAsR1Inumwj472S9r4","Kendrick Lamar, Drake","spotify:album:748dZDqSZy6aPXKcI9H80u","good kid, m.A.A.d city (Deluxe)","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2012-10-22","https://i.scdn.co/image/ab67616d0000b27378de8b28de36a74afc0348b5","1","6","300160","https://p.scdn.co/mp3-preview/592d0052d0c643a3922d5b3aabe6dc611cce1519?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","spotify:user:","2020-07-17T04:01:00Z","0.779","0.572","6","-9.985","0","0.378","0.157","0","0.246","0.647","135.956","4"
