,Word,Count
881,happen,2
2292,worst,2
1021,judgemental,2
2295,wound,2
2296,wrap,2
1053,kisses,2
861,guilty,2
2288,worried,2
2166,upgrade,2
2009,telling,2
2195,vira,2
2180,verses,2
950,hope,2
2179,verse,2
2178,verdad,2
2080,tomorrow,2
1933,strong,2
2085,tooth,2
2177,vente,2
2094,tour,2
2095,towel,2
909,heated,2
2102,trading,2
2103,traffic,2
2109,treat,2
2173,valley,2
936,hollywood,2
2172,vacilando,2
2130,trying,2
2168,usted,2
932,hole,2
2137,turnin,2
917,help,2
921,hickeys,2
2183,vert,2
2064,tight,2
1003,jackets,2
2199,vivo,2
2019,tennis,2
2021,tens,2
2236,week,2
2229,weak,2
2158,unle,2
2226,watching,2
888,harder,2
889,hardest,2
890,harmony,2
986,insane,2
2222,wasted,2
2041,thickness,2
976,impress,2
895,havent,2
975,importa,2
896,havin,2
2048,thinks,2
2208,waiting,2
962,hunnid,2
2203,waist,2
2057,throat,2
958,humo,2
956,housing,2
995,introduce,2
1411,patrs,2
1932,strikes,2
1256,models,2
1535,questioning,2
1542,quiero,2
1563,reach,2
1565,reading,2
1317,nicki,2
1311,nerd,2
1308,negotiation,2
1573,rebirth,2
1581,region,2
1586,relax,2
1588,release,2
847,grew,2
1299,nasty,2
1597,repent,2
1604,resentment,2
1285,movie,2
1284,moved,2
1606,respect,2
1283,mouths,2
1282,mouth,2
1281,mountain,2
1620,rides,2
1278,motion,2
1276,m***********,2
1275,m***********,2
1621,ridin,2
1622,riding,2
1264,moneys,2
1259,momento,2
1333,notes,2
1530,p******,2
1340,object,2
1459,platinum,2
1429,pglang,2
1431,phone,2
1441,pill,2
1442,pillow,2
1443,pills,2
1448,pistol,2
1398,paris,2
1393,paradise,2
1392,pappy,2
1389,papa,2
1386,pandemic,2
1457,plaque,2
1385,paint,2
1464,playing,2
1529,push,2
1466,plenty,2
1481,position,2
1369,opposite,2
1482,post,2
1483,posts,2
1364,oohoohooh,2
1360,omega,2
1489,prayin,2
1508,problem,2
1511,progress,2
1513,prolly,2
1523,public,2
1527,purpose,2
1258,moment,2
1253,mmuh,2
1067,laffy,2
1252,misunderstood,2
1137,livin,2
1774,sides,2
1780,signed,2
1127,lipstick,2
1126,lips,2
1121,linger,2
1786,sing,2
1114,lightning,2
1801,skin,2
1111,lifell,2
1817,slowly,2
1826,smoke,2
1109,lies,2
